date,temperature,humidity,luminosity
2020-12-02 16:36:24.651,21.8,17.0,34
2020-12-02 16:36:22.373,21.8,17.0,35
2020-12-02 16:36:20.096,21.8,17.0,35
2020-12-02 16:36:17.818,21.9,17.1,35
2020-12-02 16:36:15.540,21.9,17.1,35
2020-12-02 16:36:13.267,21.9,17.1,35
2020-12-02 16:36:10.989,21.9,17.1,39
2020-12-02 16:36:08.712,21.9,17.1,37
2020-12-02 16:36:06.434,21.9,17.1,38
2020-12-02 16:36:04.156,21.9,17.1,37
2020-12-02 16:36:01.883,21.9,17.1,41
2020-12-02 16:35:59.605,21.9,17.0,39
2020-12-02 16:35:57.328,21.9,17.0,39
2020-12-02 16:35:55.050,21.9,17.0,39
2020-12-02 16:35:52.773,21.9,17.1,40
2020-12-02 16:35:50.499,21.9,17.1,40
2020-12-02 16:35:48.222,21.9,17.0,38
2020-12-02 16:35:45.944,22.0,17.0,33
2020-12-02 16:35:43.666,22.0,17.0,33
2020-12-02 16:35:41.389,22.0,17.1,35
2020-12-02 16:35:39.115,22.0,17.1,33
2020-12-02 16:35:36.838,22.0,17.2,33
2020-12-02 16:35:34.560,22.0,17.2,33
2020-12-02 16:35:32.282,22.0,17.2,34
2020-12-02 16:35:30.005,22.0,17.3,33
2020-12-02 16:35:27.732,22.0,17.3,31
2020-12-02 16:35:25.454,22.0,17.4,31
2020-12-02 16:35:23.176,22.0,17.5,31
2020-12-02 16:35:20.899,21.9,17.5,34
2020-12-02 16:35:18.621,22.0,17.6,36
2020-12-02 16:35:16.348,21.9,17.6,32
2020-12-02 16:35:14.070,21.9,17.6,32
2020-12-02 16:35:11.793,21.9,17.6,37
2020-12-02 16:35:09.515,21.9,17.6,38
2020-12-02 16:35:07.237,21.9,17.6,38
2020-12-02 16:35:04.964,21.9,17.7,37
2020-12-02 16:35:02.686,21.9,17.7,37
2020-12-02 16:35:00.409,21.9,17.8,37
2020-12-02 16:34:58.131,21.9,17.9,36
2020-12-02 16:34:55.854,21.9,18.0,35
2020-12-02 16:34:53.580,21.9,18.1,38
2020-12-02 16:34:51.302,21.8,18.1,38
2020-12-02 16:34:49.025,21.9,18.4,40
2020-12-02 16:34:46.747,21.8,18.5,39
2020-12-02 16:34:44.470,21.8,18.7,38
2020-12-02 16:34:42.196,21.8,18.8,38
2020-12-02 16:34:39.919,21.8,18.9,39
2020-12-02 16:34:37.641,21.8,18.8,32
2020-12-02 16:34:35.363,21.7,18.7,31
2020-12-02 16:34:33.086,21.7,18.7,15
2020-12-02 16:34:30.808,21.7,18.6,4
2020-12-02 16:34:28.535,21.7,18.0,22
2020-12-02 16:34:26.257,21.7,17.8,31
2020-12-02 16:34:23.980,21.7,17.4,5
2020-12-02 16:34:21.702,21.7,17.3,16
