date,temperature,humidity,luminosity
2021-11-17 15:33:22.372,18.1,25.6,136
2021-11-17 15:33:20.094,18.1,25.6,136
2021-11-17 15:33:17.817,18.1,25.6,136
2021-11-17 15:33:15.539,18.1,25.6,136
2021-11-17 15:33:13.262,18.1,25.6,136
2021-11-17 15:33:10.984,18.1,25.6,136
2021-11-17 15:33:08.706,18.1,25.6,136
2021-11-17 15:33:06.429,18.1,25.6,136
2021-11-17 15:33:04.151,18.1,25.6,136
2021-11-17 15:33:01.874,18.1,25.6,136
2021-11-17 15:32:59.596,18.1,25.6,136
2021-11-17 15:32:57.319,18.1,25.6,136
2021-11-17 15:32:55.041,18.1,25.6,136
2021-11-17 15:32:52.763,18.1,25.6,136
2021-11-17 15:32:50.486,18.1,25.6,136
2021-11-17 15:32:48.208,18.1,25.6,135
2021-11-17 15:32:45.931,18.1,25.6,136
2021-11-17 15:32:43.653,18.1,25.6,136
2021-11-17 15:32:41.375,18.1,25.6,136
2021-11-17 15:32:39.098,18.1,25.5,136
2021-11-17 15:32:36.820,18.1,25.5,136
2021-11-17 15:32:34.538,18.1,25.5,135
2021-11-17 15:32:32.261,18.1,25.5,136
2021-11-17 15:32:29.983,18.1,25.6,136
2021-11-17 15:32:27.706,18.1,25.5,136
2021-11-17 15:32:25.428,18.1,25.6,136
2021-11-17 15:32:23.151,18.1,25.5,136
2021-11-17 15:32:20.873,18.1,25.6,136
2021-11-17 15:32:18.596,18.1,25.5,136
2021-11-17 15:32:16.318,18.1,25.5,136
2021-11-17 15:32:14.040,18.1,25.6,136
2021-11-17 15:32:11.763,18.1,25.5,136
2021-11-17 15:32:09.485,18.1,25.5,136
2021-11-17 15:32:07.208,18.1,25.5,136
2021-11-17 15:32:04.930,18.1,25.5,136
2021-11-17 15:32:02.652,18.1,25.5,136
2021-11-17 15:32:00.371,18.1,25.5,136
2021-11-17 15:31:58.093,18.1,25.5,136
2021-11-17 15:31:55.816,18.2,25.5,136
2021-11-17 15:31:53.538,18.1,25.5,136
2021-11-17 15:31:51.260,18.1,25.5,136
2021-11-17 15:31:48.983,18.2,25.5,136
2021-11-17 15:31:46.705,18.1,25.5,136
2021-11-17 15:31:44.427,18.2,25.5,136
2021-11-17 15:31:42.150,18.1,25.4,136
2021-11-17 15:31:39.872,18.1,25.4,136
2021-11-17 15:31:37.595,18.1,25.4,136
2021-11-17 15:31:35.317,18.1,25.4,136
2021-11-17 15:31:33.036,18.1,25.4,136
2021-11-17 15:31:30.758,18.1,25.4,136
2021-11-17 15:31:28.480,18.2,25.4,136
2021-11-17 15:31:26.203,18.2,25.4,136
2021-11-17 15:31:23.925,18.2,25.4,136
2021-11-17 15:31:21.648,18.2,25.4,136
2021-11-17 15:31:19.370,18.2,25.3,136
2021-11-17 15:31:17.092,18.2,25.3,136
2021-11-17 15:31:14.815,18.2,25.3,136
2021-11-17 15:31:12.537,18.2,25.3,136
2021-11-17 15:31:10.260,18.2,25.3,136
2021-11-17 15:31:07.982,18.2,25.3,136
2021-11-17 15:31:05.700,18.2,25.3,136
2021-11-17 15:31:03.423,18.2,25.3,136
2021-11-17 15:31:01.145,18.2,25.3,136
2021-11-17 15:30:58.867,18.2,25.3,136
2021-11-17 15:30:56.590,18.2,25.3,136
2021-11-17 15:30:54.312,18.2,25.3,136
2021-11-17 15:30:52.035,18.2,25.3,136
2021-11-17 15:30:49.757,18.2,25.2,136
2021-11-17 15:30:47.480,18.2,25.2,136
2021-11-17 15:30:45.202,18.2,25.2,136
2021-11-17 15:30:42.924,18.2,25.2,136
