date,temperature,humidity,luminosity
2021-11-17 15:27:13.361,18.4,23.8,136
2021-11-17 15:27:11.084,18.4,23.8,136
2021-11-17 15:27:08.802,18.4,23.8,136
2021-11-17 15:27:06.525,18.4,23.8,136
2021-11-17 15:27:04.247,18.4,23.8,136
2021-11-17 15:27:01.969,18.4,23.8,137
2021-11-17 15:26:59.692,18.4,23.7,136
2021-11-17 15:26:57.414,18.4,23.7,137
2021-11-17 15:26:55.137,18.4,23.7,137
2021-11-17 15:26:52.859,18.4,23.6,137
2021-11-17 15:26:50.581,18.4,23.6,137
2021-11-17 15:26:48.304,18.4,23.5,137
2021-11-17 15:26:46.026,18.4,23.5,137
2021-11-17 15:26:43.749,18.4,23.4,137
2021-11-17 15:26:41.471,18.4,23.4,137
2021-11-17 15:26:39.193,18.4,23.4,137
2021-11-17 15:26:36.916,18.4,23.4,137
2021-11-17 15:26:34.638,18.4,23.3,137
2021-11-17 15:26:32.361,18.4,23.3,137
2021-11-17 15:26:30.083,18.4,23.3,137
2021-11-17 15:26:27.806,18.4,23.3,137
2021-11-17 15:26:25.528,18.4,23.3,137
2021-11-17 15:26:23.250,18.4,23.3,137
2021-11-17 15:26:20.973,18.5,23.4,137
2021-11-17 15:26:18.695,18.5,23.4,137
2021-11-17 15:26:16.418,18.5,23.4,136
2021-11-17 15:26:14.140,18.5,23.4,137
2021-11-17 15:26:11.858,18.5,23.4,136
2021-11-17 15:26:09.581,18.5,23.4,137
2021-11-17 15:26:07.303,18.5,23.4,137
2021-11-17 15:26:05.025,18.5,23.4,137
2021-11-17 15:26:02.748,18.5,23.4,137
2021-11-17 15:26:00.470,18.5,23.4,137
2021-11-17 15:25:58.193,18.5,23.4,137
2021-11-17 15:25:55.915,18.5,23.5,137
2021-11-17 15:25:53.638,18.5,23.5,137
2021-11-17 15:25:51.360,18.5,23.5,137
2021-11-17 15:25:49.082,18.5,23.5,137
2021-11-17 15:25:46.805,18.5,23.6,137
2021-11-17 15:25:44.527,18.5,23.6,137
2021-11-17 15:25:42.250,18.5,23.6,137
2021-11-17 15:25:39.972,18.5,23.7,137
2021-11-17 15:25:37.694,18.5,23.7,137
